accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5267857313156128,0.5272808074951172,0.706531822681427,0.800000011920929,0.5116279125213623,0.7916666865348816,0.8823529481887817,0.6528522968292236,0.9285714030265808,0.7647058963775635
0.7410714030265808,0.8383274078369141,0.6265282034873962,0.9253731369972229,0.7209302186965942,0.9166666865348816,1.0,0.5829185247421265,1.0,0.8823529481887817
0.8928571343421936,0.932692289352417,0.5661537051200867,0.9624999761581421,0.895348846912384,1.0,1.0,0.5208802819252014,1.0,1.0
0.9196428656578064,0.9937387704849243,0.5165332555770874,1.0,0.895348846912384,1.0,0.9999999403953552,0.46507278084754944,1.0,1.0
0.9732142686843872,0.991726279258728,0.4581306278705597,0.977011501789093,0.9883720874786377,1.0,1.0,0.4152351915836334,1.0,1.0
0.9910714030265808,0.9988819360733032,0.40101295709609985,0.9885057210922241,1.0,1.0,1.0,0.3677227199077606,1.0,1.0
1.0,1.0,0.3662954866886139,1.0,1.0,1.0,1.0,0.3230085074901581,1.0,1.0
0.9910714030265808,0.9930679798126221,0.3259769082069397,0.9885057210922241,1.0,1.0,1.0,0.28057876229286194,1.0,1.0
1.0,1.0,0.28420716524124146,1.0,1.0,1.0,0.9999999403953552,0.2407650202512741,1.0,1.0
1.0,1.0,0.2473166137933731,1.0,1.0,1.0,0.9999999403953552,0.20363585650920868,1.0,1.0
1.0,0.9999999403953552,0.20713289082050323,1.0,1.0,1.0,0.9999999403953552,0.17046193778514862,1.0,1.0
1.0,1.0,0.1736898273229599,1.0,1.0,1.0,1.0,0.14171522855758667,1.0,1.0
1.0,1.0,0.14195890724658966,1.0,1.0,1.0,1.0,0.1173970103263855,1.0,1.0
1.0,1.0,0.14464347064495087,1.0,1.0,1.0,1.0,0.09645592421293259,1.0,1.0
1.0,1.0,0.10957741737365723,1.0,1.0,1.0,1.0,0.07916706055402756,1.0,1.0
1.0,1.0,0.10287410765886307,1.0,1.0,1.0,1.0,0.06505611538887024,1.0,1.0
1.0,1.0,0.08072084188461304,1.0,1.0,1.0,1.0,0.05375683680176735,1.0,1.0
1.0,0.9999999403953552,0.06273800879716873,1.0,1.0,1.0,1.0,0.0447506308555603,1.0,1.0
1.0,0.9999999403953552,0.054749421775341034,1.0,1.0,1.0,1.0,0.03774656727910042,1.0,1.0
1.0,1.0,0.058658916503190994,1.0,1.0,1.0,1.0,0.03198760747909546,1.0,1.0
1.0,1.0,0.04681210592389107,1.0,1.0,1.0,1.0,0.027222715318202972,1.0,1.0
1.0,0.9999999403953552,0.04150161147117615,1.0,1.0,1.0,1.0,0.02338145673274994,1.0,1.0
1.0,1.0,0.04011949151754379,1.0,1.0,1.0,1.0,0.020176144316792488,1.0,1.0
1.0,1.0,0.029914269223809242,1.0,1.0,1.0,1.0,0.017541740089654922,1.0,1.0
1.0,1.0,0.027232587337493896,1.0,1.0,1.0,0.9999999403953552,0.015415233559906483,1.0,1.0
1.0,1.0,0.022836867719888687,1.0,1.0,1.0,0.9999999403953552,0.013636115938425064,1.0,1.0
1.0,1.0,0.024144578725099564,1.0,1.0,1.0,0.9999999403953552,0.012142103165388107,1.0,1.0
1.0,1.0000001192092896,0.020057689398527145,1.0,1.0,1.0,0.9999999403953552,0.010893519036471844,1.0,1.0
1.0,1.0,0.0185566209256649,1.0,1.0,1.0,1.0,0.009799242950975895,1.0,1.0
1.0,1.0,0.02423110045492649,1.0,1.0,1.0,1.0,0.008854529820382595,1.0,1.0
1.0,0.9999999403953552,0.020193099975585938,1.0,1.0,1.0,1.0,0.008008372038602829,1.0,1.0
1.0,1.0,0.016207469627261162,1.0,1.0,1.0,1.0,0.007279561832547188,1.0,1.0
1.0,1.0,0.012591821141541004,1.0,1.0,1.0,1.0,0.006642709951847792,1.0,1.0
1.0,1.0,0.016111891716718674,1.0,1.0,1.0,1.0,0.006056919228285551,1.0,1.0
1.0,1.0,0.01432060357183218,1.0,1.0,1.0,1.0,0.005495036020874977,1.0,1.0
1.0,1.0,0.011159763671457767,1.0,1.0,1.0,1.0,0.005067325662821531,1.0,1.0
1.0,1.0,0.012792974710464478,1.0,1.0,1.0,1.0,0.004661563318222761,1.0,1.0
1.0,1.0,0.011054882779717445,1.0,1.0,1.0,1.0,0.0042974879033863544,1.0,1.0
1.0,1.0,0.016263427212834358,1.0,1.0,1.0,1.0,0.003958089277148247,1.0,1.0
1.0,1.0,0.010450907982885838,1.0,1.0,1.0,1.0,0.0036421751137822866,1.0,1.0
